,Less than 1 year,1 to 2 years,3 to 5 years,6 to 9 years,More than 10 years,Low,Average,High
licensed real estate agent,-,"88,284",-,-,"115,835","49,280","97,925","194,586"
licensed realtor,,,,,,"74,341","199,476","535,245"
lieutenant,,,,,,"41,973","68,331","111,244"
line cook,17.12,-,18.47,-,19.99,13.58,17.48,22.49
loan officer,"197,774",-,-,-,"158,169","82,079","181,981","403,478"
logistics and supply chain professional,,,,,,"48,924","84,529","146,047"
logistics coordinator,,,,,,15.19,21.21,29.63
logistics manager,-,"72,458","71,750","83,049","90,428","48,337","76,837","122,141"
lpn,31.12,-,34.18,34.26,35.54,24.18,33.06,45.18
lvn,30.89,-,33.67,-,35.89,23.00,32.30,45.36
machine operator,,,,,,14.37,18.34,23.40
machinist,22.81,22.23,-,29.01,30.64,17.75,24.96,35.09
maintenance,,,,,,12.36,18.46,27.57
maintenance manager,,,,,,"62,839","90,608","130,649"
maintenance supervisor,-,-,-,-,28.17,19.77,26.58,35.75
maintenance technician,21.27,21.99,-,24.29,27.23,16.49,22.86,31.69
management,,,,,,"41,103","76,641","142,906"
management consulting professional,,,,,,"59,042","94,452","151,099"
manager,,,,,,"41,103","76,641","142,906"
managing director,,,,,,"68,531","142,091","294,611"
managing member,,,,,,10.21,19.44,37.01
managing partner,,,,,,"47,790","81,298","138,301"
manufacturing engineer,-,"81,869",-,-,-,"62,046","85,339","117,377"
marketing and advertising professional,,,,,,8.42,16.79,33.47
marketing coordinator,-,"49,410","54,625","56,144",-,"36,201","51,628","73,630"
marketing director,,,,,,"56,994","99,817","174,815"
marketing manager,"71,225",-,"79,618",-,-,"48,472","74,837","115,542"
marketing specialist,,,,,,"38,456","60,221","94,306"
marketing student,,,,,,8.42,16.79,33.47
massage therapist,30.05,33.55,43.63,-,52.59,21.60,38.42,68.33
material handler,,,,,,14.03,17.94,22.94
math teacher,,,,,,"37,298","56,691","86,168"
mathematics teacher,,,,,,"37,298","56,691","86,168"
mechanic,,,,,,16.07,25.29,39.80
mechanical engineer,"82,806","83,406",-,"114,845","127,929","63,690","92,767","135,120"
mechanical engineering student,"82,806","83,406",-,"114,845","127,929","63,690","92,767","135,120"
mechanical or industrial engineering professional,,,,,,"59,649","82,217","113,324"
medical assistant,18.12,18.89,20.27,20.66,22.85,14.58,19.38,25.74
medical biller,,,,,,14.93,19.75,26.12
medical director,,,,,,"113,805","195,772","336,773"
medical technologist,,,,,,19.05,31.81,53.12
mental health care professional,,,,,,12.67,26.58,55.77
merchandiser,,,,,,9.12,12.79,17.94
mgr,,,,,,"41,103","76,641","142,906"
mortgage loan officer,"197,774",-,-,-,"158,169","82,079","181,981","403,478"
music professional,,,,,,"18,087","30,549","51,599"
music teacher,-,21.74,-,-,38.43,15.98,27.89,48.66
musician,,,,,,"32,176","52,763","86,521"
nanny,-,21.64,-,-,-,13.71,21.26,32.99
national account manager,,,,,,"37,080","69,240","129,292"
national sales manager,-,"82,146",-,-,"97,240","42,504","85,228","170,899"
network administrator,-,-,"72,656",-,"85,065","53,844","78,774","115,248"
network engineer,,,,,,"62,442","96,742","149,881"
nonprofit organization management professional,,,,,,"41,103","76,641","142,906"
nurse,35.67,35.34,39.56,41.36,42.33,21.85,37.71,65.10
nurse manager,"102,649","113,065",-,"134,341","137,055","75,815","119,618","188,729"
nurse practitioner,"110,154",-,"134,038",-,"136,711","89,037","125,229","176,133"
nursing,35.67,35.34,39.56,41.36,42.33,21.85,37.71,65.10
nursing student,,,,,,8.77,18.97,41.06
occupational therapist,44.47,-,-,-,-,31.68,49.29,76.68
office administrator,,,,,,13.73,19.32,27.20
office assistant,,,,,,12.43,17.20,23.81
office coordinator,,,,,,14.41,19.70,26.93
office manager,21.35,20.58,-,23.08,24.70,15.33,22.08,31.79
operations,,,,,,"34,942","57,921","96,013"
operations coordinator,,,,,,15.46,21.65,30.32
operations manager,"71,141","69,551","75,520",-,"81,114","44,211","73,472","122,101"
operations specialist,,,,,,"34,942","57,921","96,013"
operations supervisor,,,,,,"45,677","66,728","97,480"
operator,,,,,,13.79,19.67,28.06
optometrist,-,"191,054",-,-,"91,763","108,303","150,876","210,184"
outside sales,,,,,,"41,915","79,437","150,548"
outside sales representative,,,,,,"41,915","79,437","150,548"
owner,,,,,,"24,286","59,644","146,481"
owner operator,-,-,-,-,"6,135","3,413","5,896","10,188"
painter,18.26,-,-,21.78,23.88,13.93,20.20,29.30
paralegal,,,,,,"38,811","58,698","88,776"
paramedic,-,25.20,-,29.07,30.46,18.91,26.57,37.32
paraprofessional,,,,,,13.10,18.38,25.78
partner,,,,,,"34,714","57,261","94,453"
parts manager,,,,,,"40,247","65,332","106,053"
pastor,,,,,,"29,810","48,513","78,949"
payroll specialist,-,-,-,26.58,27.29,17.75,24.52,33.88
personal assistant,,,,,,8.45,16.04,30.45
personal banker,,,,,,15.10,19.59,25.43
personal trainer,,,,,,15.50,28.16,51.14
pharmacist,55.41,-,-,-,68.55,47.92,61.91,79.99
pharmacy manager,,,,,,"90,485","134,939","201,233"
pharmacy technician,18.17,17.90,-,20.98,22.56,12.82,18.95,28.02
phlebotomist,19.00,-,-,21.80,21.89,13.71,19.74,28.44
photographer,17.11,17.42,18.08,23.31,26.49,8.29,19.86,47.55
physical education teacher,,,,,,"33,707","56,773","95,621"
physical therapist,,,,,,34.27,53.27,82.82
physical therapist assistant,31.60,-,-,38.24,38.42,23.39,35.18,52.90
physician,"217,875","134,472",-,"216,349","262,932","101,601","187,065","344,418"
physician assistant,-,"114,855",-,-,"154,050","85,291","122,704","176,527"
pilot,,,,,,"58,342","106,372","193,943"
plant manager,,,,,,"74,761","110,485","163,279"
police officer,"54,619","53,936","60,990",-,"89,263","42,097","64,505","98,838"
postdoctoral researcher,,,,,,"44,503","62,186","86,896"
practice manager,"61,804",-,-,"71,440",-,"42,836","67,767","107,207"
preschool teacher,-,16.01,-,17.13,19.07,11.88,16.36,22.53
president,,,,,,"74,544","136,888","251,374"
president & ceo,,,,,,"56,362","107,724","205,892"
president and ceo,,,,,,"56,362","107,724","205,892"
principal,,,,,,"63,923","110,300","190,326"
principal engineer,,,,,,"108,279","159,567","235,148"
principal software engineer,,,,,,"108,279","159,567","235,148"
process engineer,-,"86,391","98,924",-,-,"62,632","91,035","132,318"
producer,,,,,,"42,295","75,802","135,853"
product manager,,,,,,"76,576","119,896","187,722"
production,,,,,,11.66,16.81,24.23
production manager,,,,,,"52,661","78,823","117,982"
production supervisor,,,,,,"52,982","69,359","90,798"
professor,,,,,,"47,705","97,400","198,864"
program analyst,,,,,,"53,084","84,310","133,904"
program assistant,,,,,,11.98,18.12,27.42
program coordinator,,,,,,"27,705","39,955","57,622"
program director,,,,,,"41,624","70,528","119,502"
program manager,,,,,,"45,677","80,843","143,082"
program specialist,,,,,,"28,724","48,808","82,934"
programmer,,,,,,"34,032","60,487","107,506"
project coordinator,"54,261",-,-,-,"66,356","35,970","56,196","87,795"
project engineer,"78,855","80,024",-,"103,688","104,224","60,316","86,447","123,899"
project manager,"85,642",-,-,-,"91,981","56,904","88,410","137,359"
property manager,"57,377",-,-,-,"65,598","38,115","59,148","91,788"
psychologist,-,"72,999",-,-,"155,804","68,269","105,365","162,619"
psychotherapist,-,45.69,-,-,103,45.56,69.55,106
purchasing,,,,,,13.49,21.01,32.73
purchasing agent,,,,,,"41,059","59,332","85,738"
purchasing manager,,,,,,"57,845","85,169","125,398"
quality assurance,,,,,,13.76,25.93,48.85
quality assurance manager,,,,,,"54,094","81,204","121,899"
quality assurance specialist,,,,,,"31,884","59,495","111,017"
quality engineer,-,"78,366",-,"87,940","89,292","59,555","80,954","110,042"
quality manager,"84,014",-,-,-,-,"66,085","93,540","132,401"
radiologic technologist,-,33.58,-,39.64,43.55,21.70,36.47,61.29
real estate,,,,,,"43,121","86,213","172,364"
real estate agent,-,"88,284",-,-,"115,835","49,280","97,925","194,586"
real estate broker,,,,,,"43,121","86,213","172,364"
real estate investor,,,,,,"43,121","86,213","172,364"
real estate professional,,,,,,"43,121","86,213","172,364"
realtor,-,"85,329",-,"108,506","106,307","49,476","96,720","189,074"
receptionist,16.16,15.88,16.76,18.34,20.09,12.33,16.43,21.89
recruiter,,,,,,"24,030","55,412","127,777"
regional director,,,,,,"55,020","100,812","184,717"
regional manager,,,,,,"52,515","84,967","137,475"
regional sales manager,,,,,,"50,080","91,591","167,511"
registered dental hygienist,42.95,-,-,-,58.14,36.16,48.64,65.42
registered dietitian,31.07,32.55,-,46.16,48.48,25.57,36.29,51.51
registered nurse,39.50,42.45,44.56,46.17,51.62,28.99,43.70,65.87
registered respiratory therapist,43.23,42.82,-,-,52.60,34.40,45.61,60.48
research assistant,17.13,-,-,-,26.39,11.37,17.80,27.86
research associate,"59,551","60,035","68,113","70,340",-,"40,917","64,102","100,424"
research professional,,,,,,"35,595","80,006","179,830"
research scientist,"77,119",-,-,-,"134,864","54,642","100,433","184,595"
researcher,,,,,,"35,595","80,006","179,830"
resident physician,"217,875","134,472",-,"216,349","262,932","101,601","187,065","344,418"
respiratory therapist,43.23,42.82,-,-,52.60,34.40,45.61,60.48
restaurant manager,,,,,,"43,659","58,218","77,632"
retail professional,14.57,14.05,15.97,17.55,18.16,10.54,14.99,21.33
retired educator,,,,,,10.70,21.71,44.06
retired teacher,17.67,17.70,-,20.64,23.70,9.14,19.18,40.25
rn,39.50,42.45,44.56,46.17,51.62,28.99,43.70,65.87
"rn, bsn",39.50,42.45,44.56,46.17,51.62,28.99,43.70,65.87
safety manager,,,,,,"60,304","86,692","124,627"
sales,,,,,,"37,788","87,544","202,814"
sales agent,"68,667","73,638","80,859","86,522","86,922","37,612","75,818","152,832"
sales associate,,,,,,10.18,14.77,21.42
sales consultant,,,,,,"39,118","80,318","164,913"
sales coordinator,,,,,,16.11,28.24,49.51
sales director,,,,,,"53,139","98,461","182,436"
sales engineer,,,,,,"51,790","85,037","139,626"
sales executive,,,,,,"46,523","84,647","154,012"
sales manager,-,"82,146",-,-,"97,240","42,504","85,228","170,899"
sales professional,,,,,,"38,872","77,096","152,905"
sales rep,"68,667","73,638","80,859","86,522","86,922","37,612","75,818","152,832"
sales representative,"68,667","73,638","80,859","86,522","86,922","37,612","75,818","152,832"
sales specialist,,,,,,"34,244","74,824","163,491"
salesman,,,,,,"30,672","69,580","157,845"
salesperson,,,,,,"30,672","69,580","157,845"
school bus driver,-,19.30,-,-,24.35,14.80,20.73,29.04
school counselor,"65,652","66,312",-,-,"95,735","35,636","72,511","147,541"
school psychologist,,,,,,"41,570","56,412","76,553"
science teacher,"51,268","54,760",-,-,"74,360","38,487","58,300","88,313"
scientist,"79,053","84,912",-,"110,126","119,108","59,240","92,430","144,215"
secretary,15.73,-,-,-,20.28,12.22,17.31,24.51
security,,,,,,12.31,17.11,23.78
security and investigations professional,,,,,,15.44,25.37,41.69
security guard,-,-,-,18.40,-,12.60,16.90,22.66
security officer,,,,,,12.31,17.11,23.78
self employed,,,,,,"23,879","53,469","119,725"
self-employed,,,,,,"23,879","53,469","119,725"
senior account executive,,,,,,"50,119","86,913","150,718"
senior account manager,,,,,,"52,172","93,567","167,807"
senior accountant,,,,,,"62,494","81,657","106,695"
senior analyst,,,,,,"59,795","90,160","135,945"
senior associate,,,,,,"65,425","95,682","139,932"
senior business analyst,-,"92,971","106,954",-,-,"71,231","100,691","142,336"
senior consultant,,,,,,"80,580","113,034","158,557"
senior designer,,,,,,"61,112","96,240","151,562"
senior engineer,,,,,,"89,743","136,766","208,427"
senior financial analyst,"89,204",-,-,-,-,"71,685","94,329","124,126"
senior manager,,,,,,"91,329","139,125","211,937"
senior pastor,,,,,,"34,014","55,113","89,300"
senior project manager,,,,,,"79,087","115,107","167,531"
senior scientist,,,,,,"79,218","115,250","167,672"
senior software engineer,,,,,,"92,230","145,390","229,190"
senior vice president,,,,,,"118,212","184,330","287,431"
sergeant,,,,,,"35,006","51,709","76,381"
server,-,15.50,-,17.92,-,9.11,16.25,29.00
service advisor,"60,893","62,719","70,589","79,951","77,791","39,334","65,946","110,564"
service manager,,,,,,"44,863","74,365","123,267"
service technician,,,,,,14.38,22.12,34.05
shift manager,,,,,,11.60,16.11,22.39
shift supervisor,,,,,,11.60,16.11,22.39
site manager,,,,,,"39,721","64,734","105,499"
small business owner,,,,,,8.67,18.18,38.14
social media manager,-,-,"65,161",-,-,"35,325","57,155","92,474"
social worker,"61,568","61,285",-,"77,177","78,918","42,074","66,345","104,615"
software developer,"112,235","115,310",-,"131,891","151,103","75,514","120,112","191,050"
software engineer,"112,235","115,310",-,"131,891","151,103","75,514","120,112","191,050"
sous chef,,,,,,"47,103","61,350","79,907"
spanish teacher,,,,,,"36,243","57,925","92,576"
special education teacher,"56,032","55,164",-,"63,034","69,667","38,475","60,038","93,688"
specialist,,,,,,10.38,19.67,37.29
speech language pathologist,44.02,45.50,54.43,55.08,-,33.62,48.56,70.12
speech-language pathologist,44.02,45.50,54.43,55.08,-,33.62,48.56,70.12
sr. project manager,,,,,,"79,087","115,107","167,531"
staff accountant,,,,,,"47,580","62,785","82,849"
staff rn,39.50,42.45,44.56,46.17,51.62,28.99,43.70,65.87
staffing and recruiting professional,,,,,,"24,030","55,412","127,777"
store manager,,,,,,"37,658","56,397","84,462"
stylist,,,,,,9.65,18.22,34.38
substitute teacher,21.04,19.10,-,-,-,12.61,19.60,30.45
superintendent,,,,,,"60,589","94,060","146,020"
supervisor,,,,,,11.49,19.29,32.38
system administrator,,,,,,"53,676","83,725","130,595"
system engineer,"103,744","105,458",-,-,"130,367","68,295","109,361","175,118"
systems administrator,,,,,,"53,676","83,725","130,595"
systems analyst,,,,,,"53,090","83,521","131,395"
systems engineer,"103,744","105,458",-,-,"130,367","68,295","109,361","175,118"
talent acquisition specialist,,,,,,"24,030","55,412","127,777"
teacher,17.67,17.70,-,20.64,23.70,9.14,19.18,40.25
teacher assistant,-,15.37,-,17.33,17.03,11.17,15.92,22.69
teaching assistant,-,15.37,-,17.33,17.03,11.17,15.92,22.69
team lead,,,,,,11.56,16.64,23.97
team leader,,,,,,11.56,16.64,23.97
tech,,,,,,12.54,22.26,39.51
technical recruiter,,,,,,"34,034","64,871","123,649"
technician,,,,,,12.54,22.26,39.51
telecommunications professional,,,,,,13.38,22.15,36.65
teller,16.53,-,17.90,18.22,20.42,12.91,17.19,22.89
territory manager,,,,,,"43,458","76,048","133,077"
territory sales manager,,,,,,"52,636","88,320","148,196"
therapist,,,,,,21.25,33.92,54.13
trainer,,,,,,10.57,22.61,48.36
travel agent,,,,,,10.00,18.04,32.53
travel consultant,,,,,,16.39,25.04,38.26
treasurer,,,,,,"37,031","76,799","159,274"
truck driver,"1,849",-,-,"2,102","2,223",926,"1,969","4,188"
underwriter,-,"90,425",-,"102,674",-,"57,360","95,113","157,715"
veterinarian,-,-,-,-,"179,030","83,996","125,839","188,525"
veterinary technician,20.40,-,-,24.10,27.20,15.43,21.83,30.89
vice president,-,-,"169,548",-,"148,071","97,845","158,867","257,947"
vice president of operations,,,,,,"95,051","156,609","258,035"
volunteer,,,,,,7.25,14.74,37.11
vp,-,-,"169,548",-,"148,071","97,845","158,867","257,947"
waitress,-,15.50,-,17.92,-,9.11,16.25,29.00
warehouse associate,,,,,,"27,825","34,834","43,609"
warehouse manager,-,"62,635",-,-,"68,747","45,324","65,945","95,947"
warehouse supervisor,,,,,,"46,436","60,811","79,637"
warehouse worker,16.82,17.08,18.20,18.30,20.99,13.17,17.43,23.06
warehousing professional,16.82,17.08,18.20,18.30,20.99,13.17,17.43,23.06
web developer,"71,691","70,336",-,"93,063","101,411","48,128","79,761","132,184"
welder,23.73,20.42,-,-,25.57,15.89,22.38,31.52
writer,,,,,,13.29,29.58,65.88
writing and editing professional,,,,,,"39,293","67,643","116,446"
